TAIL_NUMBER,MANUFACTURER,MODEL
N1,Gulfstream Aerospace,G-IV
N1AP,Cessna,750
N1BM,Cessna,425
N1BN,Gulfstream Aerospace,G-IV
N1BS,Beech,300
N1C,Dassault Aviation,FALCON 2000
N1CA,Bombardier Inc,CL-600-2B16
N1CC,Gulfstream Aerospace,G1159B
N1CF,Rockwell International Corp,NA-265-65
N1CH,Cessna,560
N1CR,Raytheon Aircraft Company,B300
N1DB,Lockheed,1329-23E
N1DE,Learjet Inc,31
N1DG,Bombardier Inc,CL-600-2B16
N1ED,Learjet Inc,31A
N1ER,Rockwell International,690B
N1GM,Rockwell International Corp,NA-265-60
N1GN,Gulfstream Aerospace,G-V
N1GT,Gulfstream Aerospace,G-IV
N1HF,Dassault-Breguet,FALCON 20
N1HP,Learjet Inc,45
N1HS,Beech,400A
N1HX,Beech,200
N1JG,Rockwell International,690B
N1JK,Gulfstream American Corp.,G-1159A
N1JN,Gulfstream American Corp.,G-1159A
N1JP,Beech,200
N1JS,Israel Aircraft Industries,1124
N1KA,Beech,B200
N1KE,Gulfstream Aerospace,G-V
N1KG,Aero Commander,690A
N1KT,Israel Aircraft Industries,1124
N1LH,Beech,H-18
N1LY,Piaggio,P180
N1M,Gulfstream American Corp.,G-1159A
N1MA,Beech,F90
N1MC,Israel Aircraft Industries,ASTRA SPX
N1MG,Learjet Inc,45
N1MJ,Lockheed,1329-25 JETSTAR II
N1MN,Swearingen,SA227-TT
N1MU,Mitsubishi,MU-2B-35
N1MW,Beech,300
N1NA,Gulfstream American Corp.,G-1159A
N1NF,Lockheed,18
N1PB,Cessna,560
N1PC,Boeing,737-2P6
N1PG,Gulfstream Aerospace,G-IV
N1PN,Beech,B100
N1PR,Gulfstream American Corp.,G-1159A
N1QF,Canadair Ltd,CL-600-2B16
N1QH,Hawker Siddeley,BH.125-400A
N1RB,Learjet Inc,60
N1S,Dassault-Breguet,FALCON 50
N1SF,Gulfstream Aerospace,G-V
N1SL,Gulfstream Aerospace,G-IV
N1SN,Gulfstream Aerospace,G-IV
N1SP,Beech,A200
N1TF,Gulfstream Aerospace,G-IV
N1TK,Bombardier Inc,BD-700-1A10
N1TM,Bombardier Inc,BD-700-1A10
N1TR,Beech,A100
N1TS,Bombardier Inc,BD-700-1A10
N1TX,Beech,200
N1U,Gates Lear Jet,36A
N1UC,Beech,E-90
N1UP,Cessna,650
N1VQ,British Aerospace A/C Group,HS.125-700A
N1VY,Mitsubishi,MU-2B-35
N1WP,Gulfstream Aerospace,G-IV
N1WS,Israel Aircraft Industries,1124
N1WV,Raytheon Aircraft Company,B300
N1XP,Douglas,DC3C-S1C3G
N1XV,Lockheed,18-56
N1YS,Beech,200
N1ZC,Cessna,650
N10AC,Beech,B200
N10AG,Beech,B100
N10AH,Gates Learjet Corp.,35A
N10AU,Cessna,560
N10AZ,Dassault-Breguet,FALCON 20
N10BB,Dehavilland,DH104 DOVE 6BA
N10BD,Gates Lear Jet,35
N10BY,Beech,200
N10C,British Aerospace A/C Group,HS.125-700A
N10CN,British Aerospace A/C Group,HS.125-700A
N10CR,Gates Learjet Corp,55C
N10D,Hawker Siddeley,DH.125-1A
N10DM,Beech,200
N10EA,Dehavilland,DHC-6-200
N10EC,Beech,B200
N10EH,Gulfstream Aerospace,G-1159A
N10FB,Cessna,425
N10FE,Canadair Ltd,CL-600-2B16
N10FL,Raytheon Aircraft Company,400A
N10FN,Gates Lear Jet Corp.,36
N10HT,Mitsubishi,MU-2B-60
N10J,Learjet Inc,45
N10JP,Cessna,650
N10K,Beech,B300
N10LN,Hawker Siddeley,DH.125-3A/RA
N10M,North American,NA-265-70
N10MB,Mcdonnell Douglas,DC-10-30F
N10MV,Israel Aircraft Industries,1124
N10MZ,Dassault-Breguet,MYSTERE FALCON 900
N10NL,Learjet Inc,45
N10P,Lockheed,18
N10PK,Beech,E18S
N10PN,Canadair Ltd,CL-600 CHALLENGER
N10PP,Dassault-Breguet,FALCON 50
N10PV,Lockheed,PV-2
N10QP,Cessna,402B
N10R,Learjet Inc,45
N10RA,Beech,1900C
N10RQ,Gulfstream American Corp.,G-1159
N10RZ,Dassault/Sud,FAN JET FALCON
N10SA,Beech,E-90
N10SE,Learjet Inc,31A
N10SN,Cessna,560
N10TB,Grumman,G-159
N10TD,Cessna,560
N10TN,British Aerospace A/C Group,HS.125-700A
N10TQ,Beech,2000
N10TX,Beech,B300
N10UC,Hawker Siddeley,HS.125 SERIES 700A
N10UJ,Israel Aircraft Industries,1124
N10UN,Raytheon Aircraft Company,B300
N10UP,British Aerospace,BAE JETSTREAM 3101
N10VG,Gates Lear Jet,25B
N10VU,Mitsubishi,MU-2B-40
N10WG,Beech,E-90
N10XJ,Beech,E-90
N10YJ,British Aerospace,BAE 125 SERIES 800A
N100A,Gulfstream Aerospace,G-IV
N100AC,Dassault/Sud,FAN JET FALCON
N100AG,Corporate Jets Limited,BAE 125-800A
N100AK,Israel Aircraft Industries,ASTRA SPX
N100AM,Rockwell International,690B
N100AP,Dehavilland,DHC-6 TWIN OTTER
N100AQ,Beech,300
N100AS,Dassault/Sud,FAN JET FALCON
N100AT,Gates Learjet Corp.,35A
N100AW,Raytheon Aircraft Company,400A
N100BC,Israel Aircraft Industries,1124
N100BE,Beech,300
N100BF,Douglas,C-117D
N100BP,Rockwell International,NA-265-80
N100BY,Mitsubishi,MU-2B-60
N100CC,Cessna,425
N100CH,Israel Aircraft Industries,1124
N100CS,Piper,PA-42-720
N100DK,Lockheed,18
N100DV,Dassault-Breguet,FALCON 50
N100DW,Douglas,DC3C
N100EC,Beech,E-90
N100EJ,North American,NA-265-80
N100ES,Gulfstream Aerospace,G-IV
N100FF,Cessna,750
N100FL,Beech,300
N100GA,Israel Aircraft Industries,ASTRA SPX
N100GL,Aero Commander,681
N100GN,Gulfstream Aerospace,G-IV
N100GV,Gulfstream Aerospace,G-V
N100GX,Gulfstream Aerospace,G-IV
N100HF,Gulfstream Aerospace,G-IV
N100HG,Gulfstream American Corp.,G-1159A
N100HW,Gates Learjet Corp.,35A
N100KA,Beech,100
N100KE,Mitsubishi,MU-2B-25
N100KK,Learjet Inc,45
N100KQ,Beech,C-45H
N100KZ,Gates Learjet Corp.,35A
N100LR,Canadair Ltd,CL-600 CHALLENGER
N100MA,Douglas,DC3C-S1C3G
N100NE,Britten-Norman,BN2A-26 ISLANDER
N100NG,Raytheon Aircraft Company,HAWKER 800XP
N100NP,Mitsubishi,MU-2B-40
N100NW,Gates Learjet Corp.,35A
N100R,Learjet Inc,60
N100RS,Mitsubishi,MU-300
N100SC,Cessna,560XL
N100SW,Mitsubishi,MU-2B-30
N100SY,Cessna,560
N100TR,Aero Commander,1121
N100TW,Beech,B100
N100U,British Aerospace,BAE 125 SERIES 1000A
N100UN,Boeing,737-7K9
N100UP,Dassault-Breguet,MYSTERE FALCON 900
N100UX,Beech,1900D
N100VE,Beech,G18S
N100WM,Aero Commander,1121
N100WN,Gates Learjet,25D
N100WP,Cessna,560
N100ZM,Beech,100
N1000,Grumman American Avn. Corp.,G-1159
N1000A,Douglas,DC3
N1000B,Lockheed,18
N1000G,Lockheed,18-56
N1000W,Cessna,560
N10004,Douglas,C-47
N10005,Douglas,C-47A
N1001S,Lockheed,18-56
N1002C,Beech,E18S
N1003P,Mcdonnell Douglas,DC-9-32
N1003X,Mcdonnell Douglas,DC-9-82(MD-82)
N1003Y,Mcdonnell Douglas,DC-9-82(MD-82)
N10033,Mcdonnell Douglas,DC-9-82(MD-82)
N1004Y,Mcdonnell Douglas,DC-9-82(MD-82)
N10040,Boeing,737-7DF
N1005,Martin,RB57A
N10060,Mcdonnell Douglas,DC-10-10
N1007B,Swearingen,SA226-T(B)
N1007C,Lockheed,1049H-82
N1008U,Swearingen,SA226-T(B)
N101AA,Mcdonnell Douglas,DC-10-10
N101AJ,Gates Lear Jet Corp.,36
N101AP,Beech,B200
N101BE,Dassault Aviation,FALCON 2000
N101CA,Cessna,425
N101CC,Raytheon Aircraft Company,400A
N101CN,Saab-Fairchild,340A
N101CS,Beech,200
N101CV,Gulfstream Aerospace,G-IV
N101DA,Boeing,767-232
N101FC,Hawker Siddeley,HS.125 SERIES 700A
N101FE,Boeing,727-22C
N101FX,Short Bros. & Harland,SC7 SERIES 3
N101GA,Gulfstream Aerospace,G-IV
N101GQ,Beech,200
N101GX,Israel Aircraft Industries,GALAXY
N101HB,Cessna,560
N101HW,Learjet Inc,60
N101KC,Douglas,DC3C
N101KJ,Gulfstream Am Corp Comm Div,690C
N101L,Israel Aircraft Industries,GALAXY
N101LB,Aero Commander,1121
N101MX,Douglas,DC3A
N101NE,Britten-Norman,BN-2A
N101PC,British Aircraft Corp.,BAC 1-11 401/AK
N101PG,Cessna,650
N101RA,Embraer,EMB-110P1
N101RG,Rockwell International,690B
N101SF,Douglas,DC3A
N101SN,Beech,B100
N101TN,Embraer,EMB-110P1
N101UE,Beech,1900C
N101UN,Boeing,737-7K9
N101UV,Short Bros. & Harland,SC7 SERIES 3
N101UW,Airbus Industrie,A320-214
N101UX,Beech,1900D
N101WA,Short Bros. & Harland,SC7 SERIES 3
N101WD,Britten-Norman,BN2A-26 ISLANDER
N101WJ,Embraer,EMB-110P1
N1010S,Douglas,DC3C-S1C3G
N1010V,Swearingen,SA226-T(B)
N1011C,Convair,240-0
N1011N,Boeing,737-79U
N10123,Grumman,G-1159
N1014V,Swearingen,SA226-T(B)
N1016N,Dehavilland,CARIBOU DHC-4A
N1016P,Dehavilland,CARIBOU DHC-4A
N1017H,Dehavilland,CARIBOU DHC-4A
N1018N,Boeing,757-22L
N1019B,Beech,E18S
N10199,Yakovlev,YAK-40
N102AA,Mcdonnell Douglas,DC-10-10
N102AB,Grumman,G-1159
N102AE,Piper,PA-42-720
N102AP,Douglas,DC3A
N102AR,Learjet Inc,25
N102BF,Douglas,C-117D
N102BG,Mitsubishi,MU-2B-60
N102CK,Lockheed,L-1011-385-1-15
N102CS,Beech,B300
N102CX,Grumman,G-1159
N102DA,Boeing,767-232
N102DH,Douglas,VC-47D
N102EB,Embraer,EMB-110P1
N102FE,Boeing,727-22C
N102FG,Beech,A100
N102FM,Gulfstream Aerospace,G-IV
N102G,Beech,CONRAD 10200
N102GP,Beech,C-99
N102GS,Swearingen,SA227-AC
N102GX,Israel Aircraft Industries,GALAXY
N102JK,Aero Commander,690A
N102LF,Beech,100
N102LJ,Learjet Inc,60
N102NC,Airbus Industrie,A300B2-1C
N102NE,Britten-Norman,BN2A-26 ISLANDER
N102PG,Beech,300
N102QS,Boeing,737-7BC
N102RB,Beech,E-90
N102RK,Boeing,727-2A1
N102SA,Beech,E18S
N102ST,Gates Learjet Corp,55
N102SW,Boeing,737-2H4
N102TN,Embraer,EMB-110P1
N102US,Convair,440
N102UW,Airbus Industrie,A320-214
N102V,Lockheed,18
N102VS,Gates Lear Jet,25B
N102WK,Beech,F90
N102XJ,Saab-Fairchild,340A
N1020C,Convair,240
N1021G,Douglas,C-47
N1022A,Douglas,DC-4
N1022C,Convair,240
N1022S,Dehavilland,DHC-6 TWIN OTTER
N10238,Boeing,737-214
N1027N,Douglas,DC-6A
N1028G,Ahrens Aircraft Corp.,AR 404
N1028K,Ahrens Aircraft Corp.,AR 404
N1028N,Ahrens Aircraft Corp.,AR 404
N1028S,Ahrens Aircraft Corp.,AR 404
N1029V,Boeing,377
N103,Douglas,C-54A
N103AA,Mcdonnell Douglas,DC-10-10
N103AF,Beech,G18S
N103AL,Beech,300
N103AP,Beech,E-90
N103BN,Beech,A200
N103CB,Beech,F90
N103CD,Gulfstream Aerospace,G-1159A
N103CK,Lockheed,L-1011-385-1-15
N103CW,Beech,300
N103DA,Boeing,767-232
N103F,Hamburger Flugzeugbau,HFB 320 HANSA
N103FE,Boeing,727-22C
N103G,Beech,D18S
N103GX,Israel Aircraft Industries,GALAXY
N103H,Beech,C-45H
N103HB,Canadair Ltd,CL-600 CHALLENGER
N103HC,Mitsubishi,MU-300
N103LP,Beech,400A
N103NA,Douglas,C-47B
N103NE,Britten-Norman,BN2A-26 ISLANDER
N103P,Beech,D18S
N103PM,Beech,200
N103QS,Boeing,737-7BC
N103RC,Mitsubishi,MU-2B-36
N103SW,Boeing,737-2H4
N103US,Airbus Industrie,A320-214
N103VA,Embraer,EMB-110P1
N103XJ,Saab-Fairchild,340A
N1030F,Lockheed,18-08
N10313,Beech,G18S
N10323,Boeing,737-3TO
N1034V,Boeing,377
N1035V,Boeing,377
N1036F,Douglas,DC-6A
N1037A,Douglas,DC3-S
N1037F,Douglas,R6D-1
N10386,Beech,UC-45J
N1039F,Dassault-Breguet,FALCON 20
N104AE,Hawker Siddeley,HS.125 SERIES 700A
N104AR,Gulfstream Aerospace,G-IV
N104BE,Beech,C-99
N104BK,Gulfstream American Corp.,G-1159A
N104CE,Lockheed,1329-23E
N104CK,Lockheed,L-1011-385-1-15
N104CQ,Saab-Fairchild,340A
N104CT,Cessna,750
N104DA,Boeing,767-232
N104DH,Douglas,C-118A
N104DT,Gulfstream Am Corp Comm Div,695A
N104EB,Embraer,EMB-110P1
N104FE,Boeing,727-22C
N104G,Beech,D18S
N104GL,Beech,1900C
N104GX,Israel Aircraft Industries,ASTRA SPX
N104J,Beech,D18S
N104JB,Mitsubishi,MU-2B-40
N104LS,Beech,B100
N104NL,Lockheed,L-1011-385-1-15
N104PC,Britten-Norman,BN-2A
N104QS,Boeing,737-7BC
N104RS,Israel Aircraft Industries,1124
N104SB,Gates Learjet Corp.,35A
N104SW,Boeing,737-2H4
N104UA,Boeing,747-422
N104UW,Airbus Industrie,A320-214
N104WA,Mcdonnell Douglas,DC-10-10
N104YV,Beech,1900D
N1040,Gulfstream Aerospace,G-IV
N1040E,Fairchild,C-119L
N1040G,Lockheed,18
N10405,Douglas,DC-6
N1042H,Beech,D18S
N1042V,Boeing,377
N10427,Curtiss Wright,C-46A
N1045G,Convair,VT-29D
N1045N,Convair,T-29B
N1046T,Dehavilland,DH104 DOVE 6A
N1047B,Beech,C18S
N1047G,Douglas,DC3A
N1048,Cessna,402B
N1048Z,Beech,C-45H
N1049C,Beech,99
N105AA,Mcdonnell Douglas,DC-10-10
N105AF,Beech,H-18
N105BA,Gates Lear Jet,25B
N105BF,Douglas,C-117D
N105BN,Canadair Ltd,CL-600-2B16
N105BV,Boeing,707-382B
N105CA,Douglas,DC3C-S4C4G
N105CF,Lockheed,1049B-55
N105CK,Lockheed,L-1011-385-1-15
N105DA,Boeing,767-232
N105DK,Beech,C-45H
N105EV,Mcdonnell Douglas,MD-11
N105FC,Cessna,425
N105FE,Boeing,727-22C
N105GX,Israel Aircraft Industries,GALAXY
N105HD,Rockwell International,NA-265-80
N105HS,Hawker Siddeley,DH.125-1A
N105LF,Dassault Aviation,FALCON 2000
N105MP,Nihon,YS-11
N105QS,Boeing,737-7BC
N105SW,Boeing,737-2H4
N105TB,Grumman,G-1159
N105TF,Messerschmitt-Bolkow-Blohm,HANSA HFB 320
N105UA,Boeing,747-451
N105UP,Canadair Ltd,CL-600-2A12
N105UW,Airbus Industrie,A320-214
N105VY,Beech,B100
N105WM,Mitsubishi,MU-2B-36A
N105WP,Douglas,DC-8-73
N105Y,Gulfstream Aerospace,G-1159A
N105YV,Beech,1900D
N1050,Beech,C-45G
N1051N,Douglas,DC3C
N1052N,Beech,E18S
N10556,Douglas,DC-9-32
N1057R,Douglas,C-54E
N1058F,Dehavilland,CARIBOU DHC-4
N106AA,Mcdonnell Douglas,DC-10-10
N106BF,Douglas,C-117D
N106CA,Cessna,402C
N106CK,Lockheed,L-1011-385-1-15
N106CX,Cessna,750
N106DA,Boeing,767-232
N106FE,Boeing,727-22C
N106GP,Cessna,402B
N106GS,Fairchild,SA227-AC
N106GX,Israel Aircraft Industries,ASTRA SPX
N106H,Beech,D18S
N106KA,Gulfstream Aerospace,G-IV
N106KC,Raytheon Aircraft Company,400A
N106PA,Beech,200
N106SA,Rockwell International,690B
N106ST,Cessna,650
N106SW,Short Bros. & Harland,SD3-30
N106SX,Beech,C-99
N106TF,Messerschmitt-Bolkow-Blohm,HANSA HFB 320
N106TT,Rockwell International,690C
N106UA,Boeing,747-451
N106US,Airbus Industrie,A320-214
N106XJ,Saab-Fairchild,340A
N106YV,Beech,1900C
N1065,Beech,C18S
N10675,Raytheon Aircraft Company,1900D
N10698,Boeing,767-204
N107A,Gulfstream Aerospace,G-IV
N107AA,Mcdonnell Douglas,DC-10-10
N107AJ,Beech,F90
N107BF,Douglas,C-117D
N107BH,Construcciones Aeronauticas Sa,C-212-CC
N107CG,Cessna,650
N107CK,Lockheed,L-1011-385-1-15
N107DC,Aero Commander,680W
N107DH,Lockheed,188C
N107DL,Boeing,767-232
N107E,Aero Commander,680FL
N107FE,Boeing,727-22C
N107FL,Beech,200
N107GL,Rockwell International,690B
N107GX,Israel Aircraft Industries,GALAXY
N107HF,Learjet Inc,25
N107JJ,Aero Commander,690A
N107LP,Learjet Inc,31A
N107LT,British Aerospace A/C Group,HS.125-700A
N107MG,Beech,B200
N107ML,Fokker,F28 MK 0100
N107PX,Saab-Fairchild,340A
N107RM,Gates Learjet,25D
N107RP,Corporate Jets Limited,BAE 125-1000A
N107SX,Beech,C-99
N107TW,Hamburger Flugzeugbau,HFB 320 HANSA
N107UA,Boeing,747-422
N107US,Airbus Industrie,A320-214
N107WA,Douglas,DC-10-30F
N107XJ,Saab-Fairchild,340A
N107YV,Beech,1900D
N107Z,Beech,200C
N1074G,Raytheon Aircraft Company,B200
N1075T,Mcdonnell Douglas,DC-9-87
N10759,Raytheon Aircraft Company,1900D
N1077,Ford,4-AT-B
N10791,Boeing,727-232
N108AA,Mcdonnell Douglas,DC-10-10
N108AL,Beech,200
N108AR,Gulfstream Aerospace,G-1159A
N108AS,Fairchild,F-27F
N108BA,Beech,99
N108BP,Raytheon Aircraft Company,HAWKER 800XP
N108CK,Lockheed,L-1011-385-1-15
N108CQ,Saab-Fairchild,340A
N108DB,Gulfstream Aerospace,G-IV
N108DL,Boeing,767-232
N108EB,Beech,B100
N108EK,Cessna,560
N108GP,Cessna,402C
N108GX,Israel Aircraft Industries,GALAXY
N108JN,Gates Learjet Corp.,35A
N108K,Beech,D18S
N108LJ,Cessna,560
N108ML,Fokker,F28 MK 0100
N108MP,Nihon,YS-11
N108PA,Gates Lear Jet,25B
N108PX,Saab-Fairchild,340A
N108R,Dassault/Sud,FAN JET FALCON
N108RB,Gates Learjet Corp.,35A
N108RS,Cessna,402B
N108SA,Rockwell International,690B
N108SB,Piper,PA-42
N108SX,Beech,C-99
N108TJ,Cessna,441
N108UA,Boeing,747-422
N108UW,Airbus Industrie,A320-214
N108UX,Embraer,EMB-120ER
N108WV,Cessna,650
N10801,Mcdonnell Douglas,DC-9-82(MD-82)
N10802,Douglas,C-47B
N10803,Douglas,C-47B
N1082A,Gulfstream Aerospace,G-IV
N1083M,Lockheed,18-50
N1083Z,Raytheon Aircraft Company,400A
N10834,Mcdonnell Douglas,DC-9-82(MD-82)
N10855,British Aerospace,BAE 125-1000
N10857,British Aerospace,BAE 125 SERIES 800A
N1086,Gulfstream Aerospace,G-IV
N10876,Raytheon Aircraft Company,1900D
N1089S,Raytheon Aircraft Company,B200
N1089V,Raytheon Aircraft Company,B200
N109AF,Hawker Siddeley,HS.125 SERIES 700A
N109CK,Lockheed,L-1011-385-1-15
N109DL,Boeing,767-232
N109FX,Learjet Inc,31A
N109G,British Aerospace A/C Group,HS.125-700A
N109GE,Beech,B200
N109GX,Israel Aircraft Industries,ASTRA SPX
N109JR,Learjet Inc,60
N109KM,Boeing,727-251
N109MC,Rockwell International Corp,NA-265-60
N109ML,Fokker,F28 MK 0100
N109MP,Nihon,YS-11
N109NC,Canadair Ltd,CL-600-2B16
N109NT,Raytheon Aircraft Company,B300
N109PW,Mitsubishi,MU-300
N109PX,Saab-Fairchild,340A
N109ST,Gulfstream Aerospace,G-IV
N109TM,Beech,200
N109UA,Boeing,747-422
N109UW,Airbus Industrie,A320-214
N109VP,Cessna,560
N109XJ,Saab-Fairchild,340A
N109ZV,Beech,1900D
N10909,Beech,TC-45J
N10910,Beech,TC-45J
N1093Z,Raytheon Aircraft Company,B200
N10931,Raytheon Aircraft Company,1900D
N1094L,Cessna,560
N1097,Douglas,DC-7B
N11,Beech,A200
N11AB,Beech,200
N11AF,Hawker Siddeley,HS-125-600A
N11AM,Learjet Inc,60
N11AZ,Boeing,737-2H7C
N11CT,Aero Commander,680W
N11DA,Beech,C-45G
N11DN,Handley Page,HP-137 MK1
N11DT,Beech,E-90
N11EL,Douglas,DC3
N11FQ,Mcdonnell Douglas Aircraft Co,MD-88
N11GS,Beech,300
N11HM,Aero Commander,680V
N11HT,Beech,E18S
N11HY,Rockwell International,690B
N11JJ,Beech,100
N11LK,Dassault-Breguet,MYSTERE FALCON 900
N11LN,Israel Aircraft Industries,1124
N11LQ,Cessna,560
N11MM,Cessna,441
N11NX,Cessna,402C
N11P,Lockheed,PV-1
N11QR,Lockheed,18-56
N11RP,Cessna,402B
N11RX,Beech,E18S
N11SJ,Mitsubishi,MU-2B-25
N11SR,Lockheed,1049G
N11TE,Beech,200
N11TK,Canadair Ltd,CL-600-2B16
N11UL,Raytheon Aircraft Company,HAWKER 800XP
N11UN,Grumman,G-159
N11WA,Dassault/Sud,FAN JET FALCON SER D
N11WF,Raytheon Aircraft Company,400A
N11WM,Dassault,FALCON 900 EX
N11XW,Dehavilland,DH104 DOVE 6A
N11YR,British Aerospace A/C Group,HS.125-700A
N11ZV,Beech,1900D
N110A,Lockheed,649-79
N110AJ,Rockwell International,NA-265-80
N110AS,Convair,340
N110BF,Douglas,C-117D
N110CE,Beech,B100
N110CK,Lockheed,L-1011-385-1
N110DL,Boeing,767-232
N110DN,Dornier,DORNIER 228-202
N110DS,Mitsubishi,MU-300
N110EJ,Hawker Siddeley,HS.125 SERIES 700A
N110EM,Embraer,EMB-110P1
N110ET,Gates Learjet Corp,55
N110EX,Dassault,FALCON 900 EX
N110FT,Gates Learjet Corp.,35A
N110FX,Learjet Inc,31A
N110G,Beech,200
N110GD,Gulfstream Aerospace,G1159B
N110GX,Israel Aircraft Industries,GALAXY
N110HA,Israel Aircraft Industries,GALAXY
N110HM,Mcdonnell Douglas,DC-9-83(MD-83)
N110KS,Cessna,402B
N110MA,Mitsubishi,MU-2B-35
N110MH,British Aerospace,BAE 125 SERIES 800A
N110ML,Fokker,F28 MK 0100
N110PH,Nihon,YS-11A-600
N110PX,Saab-Fairchild,340A
N110RB,Grumman,G-159
N110TM,Gulfstream Aerospace,G-IV
N110UW,Airbus Industrie,A320-214
N110XJ,Saab-Fairchild,340A
N110YV,Beech,1900D
N1100M,Beech,E-90
N11000,Beech,UC-45J
N11003,Lockheed,L-1011-385-1
N11005,Lockheed,L-1011-385-1
N11006,Lockheed,L-1011-385-1
N11015,Raytheon Aircraft Company,1900D
N1102U,Raytheon Aircraft Company,HAWKER 800XP
N1104W,Lockheed,C-121C
N1104X,Raytheon Aircraft Company,B200
N1105G,Embraer,EMB-120RT
N11060,Airbus Industrie,A300B4-605R
N1107Z,Cessna,750
N111AA,Beech,F90
N111AB,Swearingen,SA226-T(B)
N111AF,Learjet Inc,31A
N111AN,Douglas,DC-6B
N111AP,Douglas,DC-6B
N111AV,Douglas,C54-DC
N111BC,Douglas,C-47D
N111BP,Dassault/Sud,FAN JET FALCON
N111CX,Raytheon Aircraft Company,400A
N111CZ,Swearingen,SA226-T(B)
N111DC,Hamburger Flugzeugbau,HFB 320 HANSA
N111DG,Douglas,DC-6B
N111DN,Boeing,767-232
N111F,Rockwell International Corp,NA-265-60
N111FL,Rockwell International,690A
N111FW,Beech,E-90
N111GD,Grumman,G-1159
N111GX,Gulfstream American Corp.,G-1159A
N111HZ,Dassault Aviation,FALCON 2000
N111JA,Beech,E-90
N111JW,Beech,200
N111JX,British Aircraft Corp.,BAC 1-11 414/EG
N111KK,Learjet Inc,45
N111KU,Cessna,425
N111KZ,Gates Learjet Corp.,35A
N111LP,Israel Aircraft Industries,1124
N111LX,Gulfstream Aerospace,G-V
N111M,Beech,300
N111MD,Raytheon Aircraft Company,B200
N111MP,Gates Lear Jet,25B
N111NF,Israel Aircraft Industries,1123
N111NL,Gulfstream Aerospace,G-IV
N111NS,Beech,200C
N111PV,Beech,200
N111PX,Saab-Fairchild,340A
N111RC,Cessna,441
N111RZ,British Aircraft Corp.,BAC 1-11 401/AK
N111SF,Beech,200
N111SK,Aero Commander,680V
N111SS,Beech,300
N111ST,Douglas,DC3C 1830-94
N111SU,Cessna,425
N111TD,Aero Commander,1121
N111UA,Aero Commander,680FL
N111UN,Beechcraft-Hawker Corp.,BH-125-600A
N111US,Airbus Industrie,A320-214
N111UT,Beech,200
N111VV,Learjet Inc,31
N111VW,Dassault Aviation,FALCON 2000
N111WB,Gates Lear Jet,35
N111WE,Aero Commander,680T
N111Y,Cessna,650
N111YF,Beech,B100
N111ZE,Dehavilland,DH104 DOVE 8A
N111ZN,Raytheon Corporate Jets Inc,HAWKER 800XP
N111ZS,British Aerospace A/C Group,HS.125-700A
N1110J,Embraer,EMB-120RT
N11105,C A S A,2.111
N1111B,Beech,D18S
N1111D,Beech,D18S
N1111S,Beech,D18S
N11117,Douglas,C54A-DC
N1112N,Raytheon Aircraft Company,HAWKER 800
N1114K,Raytheon Aircraft Company,B200
N1115J,British Aircraft,BAC 1-11 204/AF
N11153,Stinson,SM-6000-B
N1116R,Raytheon Aircraft Company,400A
N1117H,Embraer,EMB-120RT
N11170,Stinson,SM-6000-B
N1118G,Raytheon Aircraft Company,B200
N1119K,Fairchild,SA227-DC
N11198,Beech,C18S
N112AA,Mcdonnell Douglas,DC-10-10
N112AB,Beech,300
N112BC,Piper,PA-42
N112CE,Gulfstream Am Corp Comm Div,695A
N112CH,Dehavilland,CARIBOU DHC-4A
N112CK,Lockheed,L-1011-385-1
N112CM,Learjet Inc,31A
N112CS,Swearingen,SA227-TT
N112DL,Boeing,767-232
N112EF,Aero Commander,690A
N112EM,Rockwell International,690A
N112FB,Grumman Aircraft Eng Corp,G-111
N112FE,Boeing,727-22C
N112GA,Mitsubishi,MU-300
N112GS,Gulfstream American Corp.,G-1159A
N112GX,Israel Aircraft Industries,GALAXY
N112HF,Beech,300
N112JM,Gates Learjet,25D
N112L,Beech,E18S-9700
N112MA,Mitsubishi,MU-2B-36
N112MP,Nihon,YS-11A-600
N112PS,Douglas,DC-9-15F
N112PX,Saab-Fairchild,340A
N112SB,Beech,E-90
N112TA,Fairchild,F-27
N112US,Airbus Industrie,A320-214
N112XJ,Saab-Scania,SF340A
N112YV,Beech,1900C
N112ZV,Beech,1900D
N1120Z,Raytheon Aircraft Company,B200
N11206,Boeing,737-824
N1121E,Aero Commander,1121
N1121G,Aero Commander,1121
N1121N,Aero Commander,1121B
N1121R,Aero Commander,1121A
N1122J,British Aircraft,BAC 1-11 204/AF
N1123G,Grumman,G-1159
N1123H,Israel Aircraft Industries,1123
N1123J,Raytheon Aircraft Company,1900D
N1124F,Israel Aircraft Industries,1124
N1124J,British Aircraft,BAC 1-11 204/AF
N11244,Boeing,737-2CO
N11246,Beech,UC-45J
N11248,Beech,C-45
N1125M,Gates Learjet Corp,55
N1125S,Israel Aircraft Industries,ASTRA SPX
N1127M,Gates Learjet Corp,55
N1128B,Dassault Aviation,FALCON 2000
N1128V,Cessna,750
N11284,Raytheon Aircraft Company,1900D
N11288,Cessna,650
N1129E,Cessna,560XL
N1129J,British Aircraft,BAC 1-11 204/AF
N1129L,Cessna,560
N1129M,Gates Learjet Corp,55
N113,Boeing,727-30
N113B,Beech,D18S
N113CS,Grumman,G1159B
N113CT,Aero Commander,681
N113DA,Boeing,767-232
N113FE,Boeing,727-22C
